,Boat,Trip Details,Dock Totals,Date
5,"Tribute  Seaforth Sportfishing  San Diego, CA",26 AnglersOvernight,"16 Bluefin Tuna, 9 Yellowtail, 1 Yellowfin Tuna",2020-07-01
0,"Dolphin  Fisherman's Landing  San Diego, CA",32 Anglers1/2 Day AM,"1 Barracuda, 1 Sculpin, 30 Calico Bass, 20 Rockfish",2020-07-02
1,"Dolphin  Fisherman's Landing  San Diego, CA",35 Anglers1/2 Day PM,"3 Sand Bass, 4 Sheephead, 38 Calico Bass, 12 Rockfish",2020-07-02
2,"Liberty  Fisherman's Landing  San Diego, CA",32 AnglersFull Day,"1 Sand Bass, 53 Barracuda, 2 Sheephead, 24 Yellowtail, 95 Calico Bass, 48 Rockfish",2020-07-02
0,"Grande  H&M Landing  San Diego, CA",31 AnglersFull Day,"56 Barracuda, 1 Halibut, 9 Yellowtail, 58 Calico Bass, 96 Rockfish",2020-07-02
1,"Malihini  H&M Landing  San Diego, CA",28 Anglers1/2 Day AM,"15 Barracuda, 75 Calico Bass, 28 Rockfish",2020-07-02
2,"Malihini  H&M Landing  San Diego, CA",28 Anglers1/2 Day PM,"15 Barracuda, 75 Calico Bass, 28 Rockfish",2020-07-02
3,"Old Glory  H&M Landing  San Diego, CA",28 AnglersOvernight,"2 Bluefin Tuna, 22 Yellowtail",2020-07-02
4,"Premier  H&M Landing  San Diego, CA",35 Anglers1/2 Day AM,"3 Barracuda, 58 Calico Bass, 4 Rockfish",2020-07-02
5,"Premier  H&M Landing  San Diego, CA",10 Anglers1/2 Day PM,"1 Barracuda, 50 Calico Bass",2020-07-02
0,"Electra  Helgrens Sportfishing  Oceanside, CA",35 Anglers1/2 Day AM,"1 Sand Bass, 6 Calico Bass, 25 Barracuda Released, 60 Calico Bass Released",2020-07-02
1,"Sea Trek  Helgrens Sportfishing  Oceanside, CA",20 Anglers3/4 Day,"5 Sand Bass, 25 Bocaccio, 1 Sheephead, 1 Whitefish, 15 Rockfish, 64 Red Rockfish, 39 Sand Bass Released",2020-07-02
0,"Blue Horizon  Oceanside Sea Center  Oceanside, CA",8 Anglers3/4 Day,"1 Calico Bass, 3 Whitefish, 30 Mackerel, 68 Rockfish, 6 Sanddab, 15 Sand Bass Released, 25 Calico Bass Released",2020-07-02
1,"Chubasco II  Oceanside Sea Center  Oceanside, CA",21 Anglers1/2 Day AM,"2 Sheephead, 20 Calico Bass, 83 Calico Bass Released",2020-07-02
2,"Pronto  Oceanside Sea Center  Oceanside, CA",8 Anglers1/2 Day PM,"9 Calico Bass, 10 Rockfish, 27 Calico Bass Released",2020-07-02
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",19 Anglers1/2 Day AM,77 Calico Bass,2020-07-02
1,"Mission Belle  Point Loma Sportfishing  San Diego, CA",14 AnglersFull Day,"27 Barracuda, 9 Sheephead, 12 Yellowtail, 49 Calico Bass, 20 Rockfish",2020-07-02
2,"New Lo-An  Point Loma Sportfishing  San Diego, CA",25 Anglers1.5 Day,"63 Yellowtail, 1 Dorado, 20 Yellowfin Tuna",2020-07-02
3,"Point Loma  Point Loma Sportfishing  San Diego, CA",15 Anglers3/4 Day,"1 Sheephead, 61 Calico Bass, 61 Rockfish",2020-07-02
0,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",2 AnglersFull Day,"6 Yellowtail, 2 Yellowfin Tuna",2020-07-02
1,"New Seaforth  Seaforth Sportfishing  San Diego, CA",35 Anglers1/2 Day AM,131 Calico Bass,2020-07-02
2,"New Seaforth  Seaforth Sportfishing  San Diego, CA",34 Anglers1/2 Day PM,103 Calico Bass,2020-07-02
3,"San Diego  Seaforth Sportfishing  San Diego, CA",29 AnglersFull Day,"17 Barracuda, 5 Sheephead, 19 Yellowtail, 145 Calico Bass, 23 Whitefish",2020-07-02
4,"Tribute  Seaforth Sportfishing  San Diego, CA",19 AnglersOvernight,"2 Bluefin Tuna, 7 Yellowtail, 2 Dorado",2020-07-02
5,"Voyager  Seaforth Sportfishing  San Diego, CA",13 AnglersFull Day,"2 Barracuda, 2 Yellowtail, 58 Calico Bass, 1 Lingcod, 36 Rockfish",2020-07-02
0,"Condor  Fisherman's Landing  San Diego, CA",27 Anglers1.5 Day,"3 Bluefin Tuna, 126 Yellowtail",2020-07-03
1,"Dolphin  Fisherman's Landing  San Diego, CA",36 Anglers1/2 Day AM,"1 Sand Bass, 9 Sheephead, 54 Calico Bass, 8 Rockfish",2020-07-03
2,"Dolphin  Fisherman's Landing  San Diego, CA",35 Anglers1/2 Day PM,"1 Sand Bass, 22 Calico Bass, 7 Rockfish",2020-07-03
3,"Intrigue  Fisherman's Landing  San Diego, CA",6 AnglersFull Day,29 Yellowtail,2020-07-03
4,"Intrigue  Fisherman's Landing  San Diego, CA",6 AnglersFull Day,29 Yellowtail,2020-07-03
5,"Liberty  Fisherman's Landing  San Diego, CA",33 AnglersFull Day,"15 Barracuda, 11 Yellowtail, 50 Calico Bass, 1 Lingcod, 25 Rockfish",2020-07-03
6,"Outrider  Fisherman's Landing  San Diego, CA",10 AnglersOvernight,,2020-07-03
7,"Tomahawk  Fisherman's Landing  San Diego, CA",25 Anglers1.5 Day,35 Yellowtail,2020-07-03
0,"Alicia  H&M Landing  San Diego, CA",13 Anglers1/2 Day Twilight,,2020-07-03
1,"Excalibur  H&M Landing  San Diego, CA",31 AnglersFull Day,"37 Barracuda, 3 Yellowtail, 100 Calico Bass, 40 Rockfish",2020-07-03
2,"Fisherman III  H&M Landing  San Diego, CA",24 Anglers1/2 Day PM,,2020-07-03
3,"Fisherman III  H&M Landing  San Diego, CA",23 Anglers1/2 Day AM,"1 Halibut, 31 Calico Bass, 10 Pacific Mackerel, 11 Rockfish",2020-07-03
4,"Grande  H&M Landing  San Diego, CA",34 AnglersFull Day,"23 Barracuda, 7 Yellowtail, 56 Calico Bass, 30 Rockfish",2020-07-03
5,"Jig Strike  H&M Landing  San Diego, CA",17 AnglersFull Day,"3 Barracuda, 55 Calico Bass, 2 Lingcod, 20 Rockfish",2020-07-03
6,"Legend  H&M Landing  San Diego, CA",25 AnglersOvernight,12 Yellowtail,2020-07-03
7,"Malihini  H&M Landing  San Diego, CA",28 Anglers1/2 Day AM,"4 Barracuda, 55 Calico Bass, 12 Rockfish, 1 White Seabass",2020-07-03
8,"Malihini  H&M Landing  San Diego, CA",26 Anglers1/2 Day PM,"16 Calico Bass, 12 Rockfish",2020-07-03
9,"Old Glory  H&M Landing  San Diego, CA",30 AnglersOvernight,"5 Bluefin Tuna (up to 100 pounds), 2 Yellowtail, 3 Yellowfin Tuna",2020-07-03
10,"Premier  H&M Landing  San Diego, CA",35 Anglers1/2 Day AM,"1 Barracuda, 1 Sheephead, 1 Yellowtail (up to 35 pounds), 17 Calico Bass, 7 Rockfish",2020-07-03
11,"Premier  H&M Landing  San Diego, CA",35 Anglers1/2 Day PM,"28 Calico Bass, 10 Rockfish",2020-07-03
12,"Producer  H&M Landing  San Diego, CA",16 AnglersOvernight,"7 Yellowtail, 7 Bonito",2020-07-03
13,"Vendetta  H&M Landing  San Diego, CA",12 AnglersFull Day,"3 Barracuda, 2 Sheephead, 55 Triggerfish, 60 Calico Bass",2020-07-03
0,"Electra  Helgrens Sportfishing  Oceanside, CA",27 Anglers1/2 Day AM,"2 Calico Bass, 2 Mackerel, 250 Calico Bass Released",2020-07-03
1,"Electra  Helgrens Sportfishing  Oceanside, CA",28 Anglers1/2 Day PM,"1 Sand Bass, 1 Blue Perch, 2 Calico Bass, 150 Calico Bass Released",2020-07-03
2,"Sea Trek  Helgrens Sportfishing  Oceanside, CA",22 Anglers3/4 Day,"9 Sand Bass, 10 Bocaccio, 12 Whitefish, 35 Rockfish, 116 Red Rockfish, 35 Sand Bass Released",2020-07-03
0,"Blue Horizon  Oceanside Sea Center  Oceanside, CA",18 Anglers3/4 Day,"4 Sand Bass, 8 Bocaccio, 3 Sheephead, 8 Calico Bass, 3 Whitefish, 80 Rockfish, 12 Sand Bass Released, 1 Sculpin Released, 30 Calico Bass Released",2020-07-03
1,"Chubasco II  Oceanside Sea Center  Oceanside, CA",21 Anglers1/2 Day AM,"1 Sheephead, 3 Calico Bass, 20 Calico Bass Released",2020-07-03
2,"Sea Star  Oceanside Sea Center  Oceanside, CA",10 Anglers3/4 Day,"2 Sand Bass, 7 Sheephead, 11 Calico Bass, 4 Whitefish, 2 Rockfish, 1 Barracuda Released, 37 Calico Bass Released, 1 White Seabass Released",2020-07-03
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",22 Anglers1/2 Day AM,24 Calico Bass,2020-07-03
1,"Daily Double  Point Loma Sportfishing  San Diego, CA",24 Anglers1/2 Day PM,"1 Sheephead, 34 Calico Bass, 1 Rockfish",2020-07-03
2,"Game Changer  Point Loma Sportfishing  San Diego, CA",2 Anglers2.5 Day,8 Bluefin Tuna (up to 212 pounds),2020-07-03
3,"Mission Belle  Point Loma Sportfishing  San Diego, CA",24 AnglersFull Day,"34 Barracuda, 1 Sculpin, 1 Sheephead, 8 Yellowtail, 95 Calico Bass, 1 Whitefish",2020-07-03
4,"New Lo-An  Point Loma Sportfishing  San Diego, CA",26 AnglersOvernight,"13 Bluefin Tuna, 2 Yellowtail, 1 Yellowfin Tuna",2020-07-03
5,"Point Loma  Point Loma Sportfishing  San Diego, CA",18 Anglers3/4 Day,"1 Barred Sand Bass, 12 Calico Bass, 45 Rockfish",2020-07-03
0,"Aztec  Seaforth Sportfishing  San Diego, CA",25 AnglersOvernight,1 Bluefin Tuna,2020-07-03
1,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",6 Anglers1/2 Day PM,"10 Calico Bass, 10 Calico Bass Released",2020-07-03
2,"New Seaforth  Seaforth Sportfishing  San Diego, CA",34 Anglers1/2 Day AM,"1 Sheephead, 83 Calico Bass, 2 Rockfish",2020-07-03
3,"New Seaforth  Seaforth Sportfishing  San Diego, CA",37 Anglers1/2 Day PM,53 Calico Bass,2020-07-03
4,"Pacific Voyager  Seaforth Sportfishing  San Diego, CA",14 Anglers3 Day,"31 Bluefin Tuna, 103 Yellowtail, 58 Yellowfin Tuna",2020-07-03
5,"Pacifica  Seaforth Sportfishing  San Diego, CA",25 Anglers1.5 Day,"22 Bluefin Tuna, 41 Yellowtail, 6 Dorado",2020-07-03
6,"Pride  Seaforth Sportfishing  San Diego, CA",12 Anglers3/4 Day,"17 Calico Bass, 120 Rockfish",2020-07-03
7,"San Diego  Seaforth Sportfishing  San Diego, CA",30 AnglersFull Day,"28 Barracuda, 4 Sheephead, 4 Yellowtail, 129 Calico Bass, 26 Whitefish",2020-07-03
8,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 Anglers1/2 Day AM,"1 Barracuda, 1 Halibut, 22 Calico Bass, 8 Rockfish, 52 Calico Bass Released",2020-07-03
9,"Tribute  Seaforth Sportfishing  San Diego, CA",30 AnglersOvernight,"12 Yellowtail, 1 Bonito, 1 Yellowfin Tuna",2020-07-03
10,"Voyager  Seaforth Sportfishing  San Diego, CA",17 AnglersFull Day,"3 Barracuda, 3 Sheephead, 38 Calico Bass, 3 Lingcod, 100 Rockfish",2020-07-03
0,"Dolphin  Fisherman's Landing  San Diego, CA",40 Anglers1/2 Day AM,59 Rockfish,2020-07-04
1,"Dolphin  Fisherman's Landing  San Diego, CA",38 Anglers1/2 Day PM,"9 Sand Bass, 5 Sculpin, 2 Calico Bass, 31 Rockfish",2020-07-04
2,"Liberty  Fisherman's Landing  San Diego, CA",32 AnglersFull Day,"25 Barracuda, 6 Yellowtail, 55 Calico Bass, 75 Whitefish, 4 Bonito, 15 Rockfish",2020-07-04
3,"Pacific Queen  Fisherman's Landing  San Diego, CA",24 Anglers3 Day,"43 Bluefin Tuna, 68 Yellowtail, 10 Yellowfin Tuna",2020-07-04
0,"Constitution  H&M Landing  San Diego, CA",25 Anglers2 DayOffshore,"2 Bluefin Tuna, 47 Yellowtail",2020-07-04
1,"Excalibur  H&M Landing  San Diego, CA",27 Anglers1.5 DayOffshore,6 Bluefin Tuna,2020-07-04
2,"Grande  H&M Landing  San Diego, CA",31 AnglersFull DayCoronado Islands,"22 Barracuda, 29 Yellowtail, 75 Calico Bass, 19 Rockfish",2020-07-04
3,"Malihini  H&M Landing  San Diego, CA",31 Anglers1/2 Day AMLocal,5 Rockfish,2020-07-04
4,"Malihini  H&M Landing  San Diego, CA",22 Anglers1/2 Day PMLocal,"48 Calico Bass, 50 Calico Bass Released",2020-07-04
5,"Ocean Odyssey  H&M Landing  San Diego, CA",26 Anglers2.5 DayOffshore,"5 Bluefin Tuna, 22 Yellowtail, 1 Dorado, 4 Yellowfin Tuna",2020-07-04
6,"Old Glory  H&M Landing  San Diego, CA",31 AnglersOvernightOffshore,"8 Bluefin Tuna, 1 Yellowfin Tuna",2020-07-04
7,"Premier  H&M Landing  San Diego, CA",33 Anglers1/2 Day AMLocal,"1 Barracuda, 1 Halibut, 20 Calico Bass, 2 Rockfish",2020-07-04
8,"Premier  H&M Landing  San Diego, CA",35 Anglers1/2 Day PMLocal,38 Calico Bass,2020-07-04
9,"Premier  H&M Landing  San Diego, CA",17 Anglers1/2 Day TwilightLocal,"85 Sand Bass, 1 Sculpin",2020-07-04
10,"Producer  H&M Landing  San Diego, CA",21 AnglersOvernightOffshore,"2 Bluefin Tuna, 18 Yellowtail",2020-07-04
11,"Sea Adventure 80  H&M Landing  San Diego, CA",28 Anglers1.5 DayOffshore,,2020-07-04
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",19 Anglers1/2 Day AM,"6 Calico Bass, 11 Whitefish, 6 Rockfish, 20 Barracuda Released, 5 Calico Bass Released",2020-07-04
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",23 Anglers1/2 Day AM,"18 Barred Sand Bass, 21 Calico Bass, 3 Rockfish",2020-07-04
1,"Daily Double  Point Loma Sportfishing  San Diego, CA",17 Anglers1/2 Day PM,"67 Barred Sand Bass, 2 Sculpin, 4 Calico Bass, 2 Rockfish, 1 White Seabass (up to 46 pounds)",2020-07-04
2,"New Lo-An  Point Loma Sportfishing  San Diego, CA",16 AnglersOvernight,"13 Bluefin Tuna, 1 Yellowfin Tuna",2020-07-04
3,"Point Loma  Point Loma Sportfishing  San Diego, CA",16 Anglers3/4 Day Local,"10 Barracuda, 57 Calico Bass, 15 Rockfish",2020-07-04
0,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",3 AnglersFull Day,"6 Bluefin Tuna, 1 Yellowtail, 4 Yellowfin Tuna",2020-07-04
1,"New Seaforth  Seaforth Sportfishing  San Diego, CA",35 Anglers1/2 Day AM,"28 Calico Bass, 2 Rockfish",2020-07-04
2,"New Seaforth  Seaforth Sportfishing  San Diego, CA",36 Anglers1/2 Day PM,"1 Sheephead, 1 Yellowtail, 53 Calico Bass, 1 Whitefish, 15 Rockfish",2020-07-04
3,"San Diego  Seaforth Sportfishing  San Diego, CA",27 AnglersFull Day,"12 Barracuda, 21 Yellowtail, 127 Calico Bass",2020-07-04
4,"Sea Watch  Seaforth Sportfishing  San Diego, CA",17 Anglers1/2 Day AM,"17 Calico Bass, 11 Rockfish, 38 Calico Bass Released",2020-07-04
5,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 Anglers1/2 Day PM,"24 Calico Bass, 50 Calico Bass Released",2020-07-04
6,"Tribute  Seaforth Sportfishing  San Diego, CA",30 AnglersOvernight,"5 Bluefin Tuna, 3 Yellowtail",2020-07-04
0,"Condor  Fisherman's Landing  San Diego, CA",19 AnglersOvernight,"2 Bluefin Tuna (up to 145 pounds), 53 Yellowtail",2020-07-05
1,"Dolphin  Fisherman's Landing  San Diego, CA",40 Anglers1/2 Day AM,"10 Barracuda, 1 Sculpin, 1 Sheephead, 105 Rockfish",2020-07-05
2,"Dolphin  Fisherman's Landing  San Diego, CA",35 Anglers1/2 Day PM,"11 Sheephead, 40 Calico Bass, 51 Rockfish, 100 Calico Bass Released",2020-07-05
3,"Excel  Fisherman's Landing  San Diego, CA",29 Anglers1.5 Day,6 Bluefin Tuna (up to 240 pounds),2020-07-05
4,"Liberty  Fisherman's Landing  San Diego, CA",34 AnglersFull Day,"47 Barracuda, 5 Yellowtail, 45 Calico Bass, 83 Whitefish, 2 Rockfish",2020-07-05
5,"Outrider  Fisherman's Landing  San Diego, CA",11 Anglers1.5 Day,5 Bluefin Tuna (up to 150 pounds),2020-07-05
6,"Pacific Queen  Fisherman's Landing  San Diego, CA",33 AnglersOvernight,"21 Bluefin Tuna (up to 210 pounds), 1 Yellowfin Tuna",2020-07-05
7,"Pegasus  Fisherman's Landing  San Diego, CA",18 Anglers1.5 Day,7 Bluefin Tuna (up to 370 pounds),2020-07-05
8,"Tomahawk  Fisherman's Landing  San Diego, CA",22 Anglers1.5 Day,"1 Bluefin Tuna, 9 Yellowtail, 1 Yellowfin Tuna",2020-07-05
0,"Alicia  H&M Landing  San Diego, CA",9 Anglers1/2 Day AMLocal,30 Rockfish,2020-07-05
1,"Easter B  H&M Landing  San Diego, CA",5 AnglersFull Day,1 Bluefin Tuna,2020-07-05
2,"Excalibur  H&M Landing  San Diego, CA",27 Anglers1.5 DayOffshore,8 Bluefin Tuna,2020-07-05
3,"Malihini  H&M Landing  San Diego, CA",15 Anglers1/2 Day AMLocal,"6 Barracuda, 1 Lingcod, 25 Rockfish",2020-07-05
4,"Malihini  H&M Landing  San Diego, CA",15 Anglers1/2 Day PM,"33 Calico Bass, 39 Calico Bass Released",2020-07-05
5,"Ocean Odyssey  H&M Landing  San Diego, CA",26 Anglers2.5 DayOffshore,"5 Bluefin Tuna, 22 Yellowtail, 1 Dorado, 4 Yellowfin Tuna",2020-07-05
6,"Premier  H&M Landing  San Diego, CA",33 Anglers1/2 Day AMLocal,"7 Barracuda, 71 Rockfish",2020-07-05
7,"Premier  H&M Landing  San Diego, CA",17 Anglers1/2 Day TwilightLocal,"85 Sand Bass, 1 Sculpin",2020-07-05
8,"Premier  H&M Landing  San Diego, CA",34 Anglers1/2 Day PM,"1 Barracuda, 51 Calico Bass",2020-07-05
9,"Producer  H&M Landing  San Diego, CA",19 AnglersOvernight,"2 Bluefin Tuna, 6 Yellowtail, 1 Yellowfin Tuna",2020-07-05
10,"Relentless  H&M Landing  San Diego, CA",11 AnglersFull Day,"6 Barracuda, 4 Yellowtail, 55 Calico Bass, 40 Whitefish",2020-07-05
11,"Top Gun 80  H&M Landing  San Diego, CA",25 Anglers2.5 DayOffshore,"10 Bluefin Tuna, 12 Yellowtail, 5 Yellowfin Tuna",2020-07-05
12,"Vendetta  H&M Landing  San Diego, CA",8 AnglersFull Day,"1 Bluefin Tuna, 1 Yellowtail, 4 Bonito, 5 Yellowfin Tuna",2020-07-05
0,"Oceanside 95  Helgrens Sportfishing  Oceanside, CA",23 Anglers1.5 Day,"4 Bluefin Tuna, 3 Yellowfin Tuna",2020-07-05
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",15 Anglers1/2 Day AM,"1 Whitefish, 62 Rockfish",2020-07-05
1,"Chubasco II  Oceanside Sea Center  Oceanside, CA",21 Anglers1/2 Day PM,"1 Sand Bass, 5 Sheephead, 16 Calico Bass, 50 Calico Bass Released",2020-07-05
2,"Sea Star  Oceanside Sea Center  Oceanside, CA",4 Anglers1/2 Day AM,"3 Sand Bass, 3 Sheephead, 4 Calico Bass, 2 Whitefish, 2 Rockfish, 3 Sand Bass Released, 1 Cabezon Released, 4 Sculpin Released, 18 Calico Bass Released",2020-07-05
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",24 Anglers1/2 Day AM,"6 Barred Sand Bass, 2 Sculpin, 1 Sheephead, 4 Calico Bass, 1 Lingcod, 12 Rockfish",2020-07-05
1,"Mission Belle  Point Loma Sportfishing  San Diego, CA",12 AnglersFull DayCoronado Islands,"8 Barracuda, 5 Yellowtail, 60 Calico Bass, 15 Whitefish, 22 Barracuda Released",2020-07-05
2,"T-Bird  Point Loma Sportfishing  San Diego, CA",15 Anglers1.5 Day,"1 Bluefin Tuna, 38 Yellowtail, 2 Dorado, 6 Bonito",2020-07-05
0,"Aztec  Seaforth Sportfishing  San Diego, CA",26 Anglers2 Day,35 Bluefin Tuna,2020-07-05
1,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",5 Anglers1/2 Day AM,10 Rockfish,2020-07-05
2,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",5 Anglers1/2 Day PM,"7 Calico Bass, 10 Calico Bass Released",2020-07-05
3,"New Seaforth  Seaforth Sportfishing  San Diego, CA",26 Anglers1/2 Day AM,"5 Sand Bass, 1 Yellowtail, 5 Calico Bass",2020-07-05
4,"New Seaforth  Seaforth Sportfishing  San Diego, CA",36 Anglers1/2 Day PM,"62 Calico Bass, 4 Rockfish",2020-07-05
5,"Pacific Voyager  Seaforth Sportfishing  San Diego, CA",19 Anglers2 Day,"22 Bluefin Tuna, 1 Dorado, 3 Yellowfin Tuna",2020-07-05
6,"Pacifica  Seaforth Sportfishing  San Diego, CA",24 Anglers1.5 Day,16 Bluefin Tuna,2020-07-05
7,"San Diego  Seaforth Sportfishing  San Diego, CA",28 AnglersFull Day,"63 Barracuda, 1 Sheephead, 7 Yellowtail, 109 Calico Bass, 18 Whitefish",2020-07-05
8,"Sea Watch  Seaforth Sportfishing  San Diego, CA",18 Anglers1/2 Day AM,"9 Calico Bass, 21 Calico Bass Released",2020-07-05
9,"Sea Watch  Seaforth Sportfishing  San Diego, CA",24 Anglers1/2 Day PM,"6 Sheephead, 31 Calico Bass, 1 Lingcod, 10 Whitefish",2020-07-05
0,"Bight 23 (SD)  Fisherman's Landing  San Diego, CA",2 AnglersFull Day,2 Bluefin Tuna,2020-07-06
1,"Condor  Fisherman's Landing  San Diego, CA",17 AnglersOvernight,87 Yellowtail,2020-07-06
2,"Dolphin  Fisherman's Landing  San Diego, CA",35 Anglers1/2 Day AM,145 Rockfish,2020-07-06
3,"Dolphin  Fisherman's Landing  San Diego, CA",34 Anglers1/2 Day PM,"14 Sheephead, 66 Calico Bass, 8 Rockfish, 100 Calico Bass Released",2020-07-06
4,"Tomahawk  Fisherman's Landing  San Diego, CA",18 AnglersOvernight,1 Yellowtail,2020-07-06
0,"Constitution  H&M Landing  San Diego, CA",25 Anglers1.5 DayOffshore,"11 Bluefin Tuna, 8 Yellowtail",2020-07-06
1,"Easter B  H&M Landing  San Diego, CA",4 Anglers1/2 Day AMLocal,24 Rockfish,2020-07-06
2,"Grande  H&M Landing  San Diego, CA",22 AnglersFull DayCoronado Islands,"44 Barracuda, 1 Yellowtail, 72 Calico Bass, 38 Rockfish",2020-07-06
3,"Old Glory  H&M Landing  San Diego, CA",19 AnglersOvernightOffshore,"4 Bluefin Tuna, 1 Yellowfin Tuna",2020-07-06
4,"Premier  H&M Landing  San Diego, CA",35 Anglers1/2 Day AMLocal,35 Calico Bass,2020-07-06
5,"Premier  H&M Landing  San Diego, CA",35 Anglers1/2 Day PMLocal,"7 Barracuda, 67 Calico Bass, 2 Red Rockfish",2020-07-06
6,"Top Gun 80  H&M Landing  San Diego, CA",25 Anglers2.5 DayOffshore,"10 Bluefin Tuna, 12 Yellowtail, 3 Yellowfin Tuna",2020-07-06
0,"Oceanside 95  Helgrens Sportfishing  Oceanside, CA",29 Anglers1/2 Day AM,"2 Sheephead, 7 Calico Bass, 1 Whitefish, 20 Barracuda Released, 30 Calico Bass Released",2020-07-06
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",19 Anglers1/2 Day AM,"4 Sheephead, 9 Calico Bass, 100 Calico Bass Released",2020-07-06
1,"Pronto  Oceanside Sea Center  Oceanside, CA",8 Anglers1/2 Day AM,"1 Sheephead, 3 Calico Bass, 1 Rockfish",2020-07-06
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",24 Anglers1/2 Day AM,"13 Calico Bass, 27 Rockfish",2020-07-06
1,"Game Changer  Point Loma Sportfishing  San Diego, CA",6 Anglers1.5 Day,11 Bluefin Tuna (up to 170 pounds),2020-07-06
2,"Mission Belle  Point Loma Sportfishing  San Diego, CA",9 AnglersFull Day,"12 Barracuda, 5 Yellowtail, 45 Calico Bass, 1 Bonito",2020-07-06
3,"New Lo-An  Point Loma Sportfishing  San Diego, CA",22 Anglers1.5 Day,"21 Bluefin Tuna (up to 170 pounds), 1 Yellowtail, 4 Yellowfin Tuna",2020-07-06
0,"Apollo  Seaforth Sportfishing  San Diego, CA",12 Anglers3.5 Day,"14 Bluefin Tuna, 24 Yellowtail, 2 Yellowfin Tuna",2020-07-06
1,"New Seaforth  Seaforth Sportfishing  San Diego, CA",33 Anglers1/2 Day AM,"1 Sheephead, 15 Calico Bass, 5 Rockfish",2020-07-06
2,"New Seaforth  Seaforth Sportfishing  San Diego, CA",36 Anglers1/2 Day PM,"46 Calico Bass, 10 Rockfish",2020-07-06
3,"San Diego  Seaforth Sportfishing  San Diego, CA",30 AnglersFull Day,"19 Bluefin Tuna, 1 Yellowtail, 22 Bonito, 6 Yellowfin Tuna",2020-07-06
4,"Sea Watch  Seaforth Sportfishing  San Diego, CA",18 Anglers3/4 Day,"30 Calico Bass, 90 Rockfish, 100 Calico Bass Released",2020-07-06
5,"Tribute  Seaforth Sportfishing  San Diego, CA",28 AnglersOvernight,"4 Bluefin Tuna, 8 Yellowtail",2020-07-06
0,"Dolphin  Fisherman's Landing  San Diego, CA",33 Anglers1/2 Day AM,"51 Rockfish, 100 Vermilion Rockfish",2020-07-07
1,"Dolphin  Fisherman's Landing  San Diego, CA",26 Anglers1/2 Day PM,"4 Barracuda, 5 Sheephead, 62 Calico Bass, 11 Rockfish, 100 Calico Bass Released",2020-07-07
2,"Pacific Queen  Fisherman's Landing  San Diego, CA",33 Anglers1.5 Day,20 Bluefin Tuna,2020-07-07
3,"Pegasus  Fisherman's Landing  San Diego, CA",16 Anglers1.5 Day,8 Bluefin Tuna,2020-07-07
4,"Shogun  Fisherman's Landing  San Diego, CA",17 Anglers1.5 Day,"23 Bluefin Tuna, 1 Yellowtail, 1 Yellowfin Tuna",2020-07-07
0,"Constitution  H&M Landing  San Diego, CA",25 Anglers1.5 DayOffshore,"11 Bluefin Tuna, 8 Yellowtail",2020-07-07
1,"Grande  H&M Landing  San Diego, CA",26 AnglersOvernightCoronado Islands,"50 Barracuda, 80 Calico Bass, 130 Rockfish",2020-07-07
2,"Old Glory  H&M Landing  San Diego, CA",27 AnglersOvernightOffshore,"3 Bluefin Tuna, 6 Bonito, 4 Yellowfin Tuna",2020-07-07
3,"Premier  H&M Landing  San Diego, CA",34 Anglers1/2 Day AMLocal,"7 Barracuda, 83 Calico Bass",2020-07-07
4,"Premier  H&M Landing  San Diego, CA",23 Anglers1/2 Day PMLocal,"1 Barracuda, 115 Calico Bass",2020-07-07
0,"Sea Trek  Helgrens Sportfishing  Oceanside, CA",22 Anglers1/2 Day AM,"5 Sand Bass, 6 Sheephead, 2 Whitefish, 74 Sand Bass Released, 6 Sheephead Released",2020-07-07
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",19 Anglers1/2 Day AM,"5 Sand Bass, 1 Sheephead, 36 Calico Bass, 90 Calico Bass Released",2020-07-07
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",18 Anglers1/2 Day AM,"9 Barred Sand Bass, 1 Barracuda, 2 Sculpin, 25 Calico Bass, 16 Rockfish",2020-07-07
1,"Daily Double  Point Loma Sportfishing  San Diego, CA",22 Anglers1/2 Day PM,"90 Calico Bass, 1 Rockfish",2020-07-07
2,"Point Loma  Point Loma Sportfishing  San Diego, CA",16 Anglers3/4 Day Local,"33 Calico Bass, 83 Rockfish",2020-07-07
0,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",6 AnglersFull Day,1 Yellowtail,2020-07-07
